Age,Tm,Opp,FG%,3P%,TRB,BLK,PTS,win_flag,total
21,03_10CLE,PHI,0.5,0.25,4,1,25,1,1
21,03_10CLE,NYK,0.455,0,7,1,27,0,1
21,03_10CLE,ATL,0.522,0.333,7,2,31,1,1
21,03_10CLE,HOU,0.318,0.333,5,0,21,0,1
21,03_10CLE,TOR,0.611,0.5,6,0,26,1,1
21,03_10CLE,IND,0.688,0.333,7,1,27,1,1
21,03_10CLE,NOK,0.389,0,7,0,15,0,1
21,03_10CLE,CHA,0.353,0,8,1,22,1,1
21,03_10CLE,SEA,0.643,0.667,9,0,22,1,1
21,03_10CLE,ORL,0.526,0.4,5,1,29,0,1
21,03_10CLE,NJN,0.455,0.333,1,1,37,0,1
21,03_10CLE,DET,0.45,0,10,0,26,0,1
21,03_10CLE,ORL,0.619,0.667,7,0,32,1,1
21,03_10CLE,ATL,0.4,0.5,9,2,27,1,1
21,03_10CLE,MIL,0.524,0.333,4,1,32,1,1
22,03_10CLE,CHI,0.577,0.75,9,0,33,0,1
22,03_10CLE,SAS,0.412,0,5,0,19,1,1
22,03_10CLE,BOS,0.55,0.667,6,1,32,1,1
22,03_10CLE,MIL,0.231,0,5,0,8,1,1
22,03_10CLE,SAC,0.538,0.429,4,1,34,1,1
22,03_10CLE,PHO,0.536,0.333,6,0,34,0,1
22,03_10CLE,LAC,0.435,0,6,0,28,1,1
22,03_10CLE,SEA,0.381,0.143,7,1,30,0,1
22,03_10CLE,POR,0.381,0.25,6,0,23,0,1
22,03_10CLE,DEN,0.391,0,10,0,30,0,1
22,03_10CLE,GSW,0.636,0.286,7,0,32,1,1
22,03_10CLE,ORL,0.4,0,4,0,18,0,1
22,03_10CLE,PHI,0.538,0.375,10,0,39,0,1
22,03_10CLE,PHO,0.545,0.5,9,0,30,0,1
22,03_10CLE,MIA,0.333,0.286,6,0,17,0,1
22,03_10CLE,CHA,0.538,0,10,0,18,1,1
22,03_10CLE,DET,0.409,0.25,5,0,21,0,1
22,03_10CLE,LAC,0.308,0.5,7,1,11,1,1
22,03_10CLE,MIA,0.545,0.25,7,0,29,1,1
22,03_10CLE,LAL,0.313,0,8,1,18,1,1
22,03_10CLE,UTA,0.36,0,10,3,23,0,1
22,03_10CLE,LAL,0.625,0,4,0,38,1,1
22,03_10CLE,TOR,0.48,0,4,1,29,1,1
22,03_10CLE,CHI,0.464,0.25,7,0,29,0,1
22,03_10CLE,MIA,0.455,0.4,3,1,29,0,1
22,03_10CLE,NOK,0.636,0.75,5,1,35,1,1
22,03_10CLE,DAL,0.63,0.25,3,0,39,0,1
22,03_10CLE,TOR,0.5,0.333,5,3,36,1,1
22,03_10CLE,HOU,0.5,0.5,12,0,32,1,1
22,03_10CLE,DET,0.548,0.333,7,1,41,1,1
22,03_10CLE,MIL,0.545,0.667,8,1,32,1,1
22,03_10CLE,IND,0.455,0.333,7,1,26,1,1
22,03_10CLE,MEM,0.647,0.571,6,0,29,1,1
22,03_10CLE,UTA,0.381,0,17,2,24,1,1
22,03_10CLE,CHA,0.387,0.222,6,3,37,0,1
22,03_10CLE,DAL,0.429,0.167,6,3,31,0,1
22,03_10CLE,NYK,0.5,0,3,0,21,1,1
22,03_10CLE,DEN,0.421,0.167,3,0,18,0,1
22,03_10CLE,IND,0.444,0,7,0,26,1,1
22,03_10CLE,NYK,0.3,0.4,6,0,24,0,1
22,03_10CLE,CHI,0.56,0,5,0,39,1,1
22,03_10CLE,MIN,0.542,0,12,1,31,1,1
22,03_10CLE,MIA,0.524,0.4,9,0,35,0,1
22,03_10CLE,WAS,0.304,0,6,1,25,1,1
22,03_10CLE,DET,0.313,0.25,5,0,20,0,1
22,03_10CLE,NJN,0.556,0,8,1,35,1,1
22,03_10CLE,ATL,0.5,0.5,5,1,23,1,1
22,03_10CLE,PHI,0.467,0,5,0,18,1,1
22,03_10CLE,MIL,0.5,0.25,5,0,24,1,1
23,03_10CLE,WAS,0.632,0,6,2,32,1,1
23,03_10CLE,WAS,0.474,0.333,9,2,30,1,1
23,03_10CLE,WAS,0.526,0,7,1,22,0,1
23,03_10CLE,WAS,0.44,0.375,12,0,34,1,1
23,03_10CLE,WAS,0.381,0.333,10,2,34,0,1
23,03_10CLE,WAS,0.471,0.5,13,1,27,1,1
23,03_10CLE,BOS,0.111,0,9,1,12,0,1
23,03_10CLE,BOS,0.25,0,5,1,21,0,1
23,03_10CLE,BOS,0.313,0.6,5,3,21,1,1
23,03_10CLE,BOS,0.35,0.4,6,2,21,1,1
23,03_10CLE,BOS,0.48,0,3,1,35,0,1
