Date,Age,Tm,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2010-02-11,25-043,03_10CLE,ORL,W (+9),1,45:05,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,2,32,30.6,16
2010-02-18,25-050,03_10CLE,DEN,L (-2),1,47:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,1,43,40.1,-5
2010-02-19,25-051,03_10CLE,CHA,L (-17),1,35:30,6,14,0.429,2,6,0.333,8,10,0.800,1,2,3,9,4,0,2,2,22,22.6,-2
2010-02-21,25-053,03_10CLE,ORL,L (-6),1,39:23,12,25,0.480,1,6,0.167,8,12,0.667,0,9,9,6,2,1,5,0,33,23.3,-9
2010-02-23,25-055,03_10CLE,NOH,W (+10),1,44:07,7,16,0.438,2,6,0.333,4,4,1.000,1,4,5,13,2,0,0,0,20,24.6,17
2010-02-25,25-057,03_10CLE,BOS,W (+20),1,35:57,11,23,0.478,3,6,0.500,11,15,0.733,1,6,7,9,0,0,2,2,36,28.7,9
2010-02-26,25-058,03_10CLE,TOR,W (+8),1,44:24,10,17,0.588,1,4,0.250,15,16,0.938,0,6,6,9,2,0,1,2,36,36.0,8
2010-03-01,25-061,03_10CLE,NYK,W (+31),1,31:14,9,17,0.529,1,4,0.250,3,5,0.600,0,7,7,7,2,2,3,0,22,20.3,39
2010-03-03,25-063,03_10CLE,NJN,W (+19),1,40:41,10,18,0.556,0,4,0.000,6,7,0.857,2,5,7,14,3,1,3,1,26,30.0,18
2010-03-05,25-065,03_10CLE,DET,W (+7),1,41:52,16,27,0.593,3,7,0.429,5,6,0.833,2,11,13,6,3,2,4,1,40,36.0,12
2010-03-12,25-072,03_10CLE,PHI,W (+5),1,42:06,7,18,0.389,3,10,0.300,6,12,0.500,0,6,6,10,1,3,1,2,23,20.9,2
2010-03-14,25-074,03_10CLE,BOS,W (+11),1,38:52,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,2,30,26.7,3
2010-03-16,25-076,03_10CLE,DET,W (+12),1,43:07,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,0,29,26.9,13
2010-03-17,25-077,03_10CLE,IND,W (+5),1,38:43,11,24,0.458,2,4,0.500,8,10,0.800,1,8,9,9,3,2,6,2,32,25.8,14
2010-03-19,25-079,03_10CLE,CHI,W (+7),1,37:31,9,21,0.429,0,3,0.000,11,12,0.917,1,10,11,7,2,2,5,1,29,24.1,5
2010-03-21,25-081,03_10CLE,DET,W (+25),1,30:48,5,9,0.556,2,3,0.667,3,3,1.000,0,3,3,7,0,1,0,0,15,17.2,17
2010-03-24,25-084,03_10CLE,NOH,W (+13),1,40:45,15,22,0.682,1,5,0.200,7,8,0.875,2,4,6,9,1,0,3,2,38,34.3,9
2010-03-26,25-086,03_10CLE,SAS,L (-5),1,39:18,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,2,27,20.2,-5
2010-03-28,25-088,03_10CLE,SAC,W (+7),1,39:05,13,22,0.591,3,6,0.500,5,6,0.833,1,6,7,8,3,0,3,2,34,30.7,8
2010-03-31,25-091,03_10CLE,MIL,W (+3),1,39:05,7,17,0.412,0,1,0.000,9,13,0.692,1,8,9,7,1,1,4,2,23,17.2,10
2010-04-02,25-093,03_10CLE,ATL,W (+5),1,38:22,11,20,0.550,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,1,27,23.9,11
2010-04-04,25-095,03_10CLE,BOS,L (-4),1,44:32,14,31,0.452,0,9,0.000,14,22,0.636,1,6,7,9,1,1,3,0,42,30.2,-1
2010-04-06,25-097,03_10CLE,TOR,W (+12),1,35:34,5,13,0.385,0,2,0.000,9,10,0.900,0,6,6,13,0,1,4,1,19,18.7,19
2011-04-16,26-107,MIA,PHI,W (+8),1,42:43,4,14,0.286,0,2,0,13,14,0.929,4,10,14,5,1,3,2,3,21,21.6,4
2011-04-18,26-109,MIA,PHI,W (+21),1,38:55,10,19,0.526,1,1,1,8,10,0.8,1,6,7,6,0,0,0,1,29,25.2,24
2011-04-21,26-112,MIA,PHI,W (+6),1,44:16,8,15,0.533,1,4,0.25,7,10,0.7,1,14,15,6,1,0,1,1,24,24.2,8
2011-04-24,26-115,MIA,PHI,L (-4),1,43:33,11,20,0.55,0,4,0,9,11,0.818,2,5,7,6,1,1,1,2,31,27.6,-4
2011-04-27,26-118,MIA,PHI,W (+6),1,41:40,5,13,0.385,2,5,0.4,4,5,0.8,3,7,10,8,1,0,3,2,16,15.5,5
2011-05-01,26-122,MIA,BOS,W (+9),1,39:54,8,19,0.421,1,3,0.333,5,9,0.556,1,5,6,5,2,2,3,2,22,15.6,1
2011-05-03,26-124,MIA,BOS,W (+11),1,44:03,14,25,0.56,2,4,0.5,5,8,0.625,2,5,7,2,1,1,0,3,35,26.7,10
2011-05-07,26-128,MIA,BOS,L (-16),1,42:48,6,16,0.375,0,3,0,3,7,0.429,2,5,7,4,2,5,4,3,15,10.6,-21
2011-05-09,26-130,MIA,BOS,W (+8),1,50:17,12,28,0.429,2,6,0.333,9,9,1,3,11,14,3,3,0,5,3,35,24.5,7
2011-05-11,26-132,MIA,BOS,W (+10),1,45:43,11,20,0.55,5,7,0.714,6,9,0.667,2,5,7,4,1,1,5,1,33,24.2,14
2011-05-15,26-136,MIA,CHI,L (-21),1,41:12,5,15,0.333,1,3,0.333,4,4,1,1,5,6,6,2,3,4,2,15,12.2,-14
2011-05-18,26-139,MIA,CHI,W (+10),1,45:39,12,21,0.571,2,6,0.333,3,7,0.429,3,7,10,5,3,0,5,3,29,22,8
2011-05-22,26-143,MIA,CHI,W (+11),1,43:55,6,13,0.462,1,2,0.5,9,9,1,1,5,6,10,2,2,0,4,22,26.3,16
2011-05-24,26-145,MIA,CHI,W (+8),1,49:23,11,26,0.423,0,1,0,13,13,1,2,4,6,6,2,2,5,4,35,24.8,-1
2011-05-26,26-147,MIA,CHI,W (+3),1,45:46,8,19,0.421,3,6,0.5,9,11,0.818,0,11,11,6,3,2,4,2,28,24.2,8
2011-05-31,26-152,MIA,DAL,W (+8),1,45:15,9,16,0.563,4,5,0.8,2,2,1,0,9,9,5,1,0,1,4,24,21,9
2011-06-02,26-154,MIA,DAL,L (-2),1,39:37,8,15,0.533,2,7,0.286,2,4,0.5,1,7,8,4,4,1,5,4,20,15.6,-5
2011-06-05,26-157,MIA,DAL,W (+2),1,45:15,6,14,0.429,1,4,0.25,4,4,1,0,3,3,9,2,0,4,3,17,13.6,1
2011-06-07,26-159,MIA,DAL,L (-3),1,45:43,3,11,0.273,0,3,0,2,4,0.5,3,6,9,7,2,0,4,4,8,5.9,-6
2011-06-09,26-161,MIA,DAL,L (-9),1,45:38,8,19,0.421,0,4,0,1,2,0.5,1,9,10,10,0,1,4,3,17,12.4,-11
2011-06-12,26-164,MIA,DAL,L (-10),1,40:21,9,15,0.6,2,5,0.4,1,4,0.25,1,3,4,6,1,1,6,2,21,13.6,-24
2010-10-26,25-300,MIA,BOS,L (-8),1,42:39,10,21,0.476,3,6,0.500,8,12,0.667,0,4,4,3,1,2,8,1,31,16.0,1
2010-10-27,25-301,MIA,PHI,W (+10),1,37:33,5,12,0.417,0,2,0.000,6,6,1.000,0,6,6,7,2,1,9,1,16,9.6,6
2010-10-29,25-303,MIA,ORL,W (+26),1,30:02,6,13,0.462,2,3,0.667,1,2,0.500,0,6,6,7,0,0,3,4,15,10.0,13
2010-10-31,25-305,MIA,NJN,W (+23),1,28:57,5,12,0.417,0,4,0.000,10,12,0.833,0,7,7,7,2,0,5,3,20,15.6,18
2010-11-02,25-307,MIA,MIN,W (+32),1,32:26,7,12,0.583,0,2,0.000,6,8,0.750,0,0,0,12,2,1,1,0,20,23.7,32
2010-11-05,25-310,MIA,NOH,L (-3),1,41:12,6,16,0.375,1,2,0.500,7,8,0.875,0,7,7,10,3,1,3,0,20,20.6,-6
2010-11-06,25-311,MIA,NJN,W (+12),1,33:35,9,16,0.563,2,4,0.500,3,5,0.600,0,3,3,9,2,0,4,1,23,19.4,11
2010-11-09,25-314,MIA,UTA,L (-2),1,46:44,5,18,0.278,0,1,0.000,10,11,0.909,2,9,11,14,1,3,2,3,20,22.8,4
2010-11-11,25-316,MIA,BOS,L (-5),1,44:28,9,21,0.429,0,5,0.000,17,22,0.773,0,10,10,9,3,0,4,3,35,29.0,0
2010-11-13,25-318,MIA,TOR,W (+9),1,39:20,8,21,0.381,0,1,0.000,7,11,0.636,1,1,2,11,2,0,3,0,23,17.6,11
2010-11-17,25-322,MIA,PHO,W (+27),1,23:03,9,15,0.600,0,2,0.000,2,3,0.667,3,5,8,9,3,0,3,5,20,20.6,24
2010-11-19,25-324,MIA,CHA,W (+8),1,39:29,12,25,0.480,2,5,0.400,6,7,0.857,0,2,2,5,2,0,4,1,32,20.6,4
2010-11-20,25-325,MIA,MEM,L (-2),1,42:06,11,23,0.478,2,4,0.500,5,6,0.833,0,3,3,11,1,0,4,2,29,21.7,-1
